Move 100 called. Episodes: 0, Games: 0
Move 200 called. Episodes: 0, Games: 0
Move 300 called. Episodes: 0, Games: 0
Move 400 called. Episodes: 0, Games: 0
Move 500 called. Episodes: 0, Games: 0
Move 600 called. Episodes: 0, Games: 0
Move 700 called. Episodes: 0, Games: 0
Move 800 called. Episodes: 0, Games: 0
Move 900 called. Episodes: 0, Games: 0
Move 1000 called. Episodes: 0, Games: 0
Move 1100 called. Episodes: 0, Games: 0
Move 1200 called. Episodes: 0, Games: 0
Move 1300 called. Episodes: 0, Games: 0
Move 1400 called. Episodes: 0, Games: 0
Move 1500 called. Episodes: 0, Games: 0
Move 1600 called. Episodes: 0, Games: 0
Move 1700 called. Episodes: 0, Games: 0
Move 1800 called. Episodes: 0, Games: 0
Move 1900 called. Episodes: 0, Games: 0
Move 2000 called. Episodes: 0, Games: 0
Move 2100 called. Episodes: 0, Games: 0
Move 2200 called. Episodes: 0, Games: 0
Move 2300 called. Episodes: 0, Games: 0
Move 2400 called. Episodes: 0, Games: 0
Move 2500 called. Episodes: 0, Games: 0
Move 2600 called. Episodes: 0, Games: 0
Move 2700 called. Episodes: 0, Games: 0
Move 2800 called. Episodes: 0, Games: 0
Move 2900 called. Episodes: 0, Games: 0
Move 3000 called. Episodes: 0, Games: 0
Move 3100 called. Episodes: 0, Games: 0
Move 3200 called. Episodes: 0, Games: 0
Move 3300 called. Episodes: 0, Games: 0
Move 3400 called. Episodes: 0, Games: 0
Move 3500 called. Episodes: 0, Games: 0
Move 3600 called. Episodes: 0, Games: 0
Move 3700 called. Episodes: 0, Games: 0
Move 3800 called. Episodes: 0, Games: 0
Move 3900 called. Episodes: 0, Games: 0
Move 4000 called. Episodes: 0, Games: 0
Move 4100 called. Episodes: 0, Games: 0
Move 4200 called. Episodes: 0, Games: 0
Move 4300 called. Episodes: 0, Games: 0
Move 4400 called. Episodes: 0, Games: 0
Move 4500 called. Episodes: 0, Games: 0
Move 4600 called. Episodes: 0, Games: 0
Move 4700 called. Episodes: 0, Games: 0
Move 4800 called. Episodes: 0, Games: 0
Move 4900 called. Episodes: 0, Games: 0
Move 5000 called. Episodes: 0, Games: 0
Move 5100 called. Episodes: 0, Games: 0
Move 5200 called. Episodes: 0, Games: 0
Move 5300 called. Episodes: 0, Games: 0
Move 5400 called. Episodes: 0, Games: 0
Move 5500 called. Episodes: 0, Games: 0
Move 5600 called. Episodes: 0, Games: 0
Move 5700 called. Episodes: 0, Games: 0
Move 5800 called. Episodes: 0, Games: 0
Move 5900 called. Episodes: 0, Games: 0
Move 6000 called. Episodes: 0, Games: 0
Move 6100 called. Episodes: 0, Games: 0
Move 6200 called. Episodes: 0, Games: 0
Move 6300 called. Episodes: 0, Games: 0
Move 6400 called. Episodes: 0, Games: 0
Move 6500 called. Episodes: 0, Games: 0
Move 6600 called. Episodes: 0, Games: 0
Move 6700 called. Episodes: 0, Games: 0
Move 6800 called. Episodes: 0, Games: 0
Move 6900 called. Episodes: 0, Games: 0
Move 7000 called. Episodes: 0, Games: 0
Move 7100 called. Episodes: 0, Games: 0
Move 7200 called. Episodes: 0, Games: 0
Move 7300 called. Episodes: 0, Games: 0
Move 7400 called. Episodes: 0, Games: 0
Move 7500 called. Episodes: 0, Games: 0
Move 7600 called. Episodes: 0, Games: 0
Move 7700 called. Episodes: 0, Games: 0
Move 7800 called. Episodes: 0, Games: 0
Move 7900 called. Episodes: 0, Games: 0
Move 8000 called. Episodes: 0, Games: 0
Move 8100 called. Episodes: 0, Games: 0
Move 8200 called. Episodes: 0, Games: 0
Move 8300 called. Episodes: 0, Games: 0
Move 8400 called. Episodes: 0, Games: 0
Move 8500 called. Episodes: 0, Games: 0
Move 8600 called. Episodes: 0, Games: 0
Move 8700 called. Episodes: 0, Games: 0
Move 8800 called. Episodes: 0, Games: 0
Move 8900 called. Episodes: 0, Games: 0
Move 9000 called. Episodes: 0, Games: 0
Move 9100 called. Episodes: 0, Games: 0
Move 9200 called. Episodes: 0, Games: 0
Move 9300 called. Episodes: 0, Games: 0
Move 9400 called. Episodes: 0, Games: 0
Move 9500 called. Episodes: 0, Games: 0
Move 9600 called. Episodes: 0, Games: 0
Move 9700 called. Episodes: 0, Games: 0
Move 9800 called. Episodes: 0, Games: 0
Move 9900 called. Episodes: 0, Games: 0
Move 10000 called. Episodes: 0, Games: 0
Move 10100 called. Episodes: 0, Games: 0
Move 10200 called. Episodes: 0, Games: 0
Move 10300 called. Episodes: 0, Games: 0
Move 10400 called. Episodes: 0, Games: 0
Move 10500 called. Episodes: 0, Games: 0
Move 10600 called. Episodes: 0, Games: 0
Move 10700 called. Episodes: 0, Games: 0
Move 10800 called. Episodes: 0, Games: 0
Move 10900 called. Episodes: 0, Games: 0
Move 11000 called. Episodes: 0, Games: 0
Move 11100 called. Episodes: 0, Games: 0
Move 11200 called. Episodes: 0, Games: 0
Move 11300 called. Episodes: 0, Games: 0
Move 11400 called. Episodes: 0, Games: 0
Move 11500 called. Episodes: 0, Games: 0
Move 11600 called. Episodes: 0, Games: 0
Move 11700 called. Episodes: 0, Games: 0
Move 11800 called. Episodes: 0, Games: 0
Move 11900 called. Episodes: 0, Games: 0
Move 12000 called. Episodes: 0, Games: 0
Move 12100 called. Episodes: 0, Games: 0
Move 12200 called. Episodes: 0, Games: 0
Move 12300 called. Episodes: 0, Games: 0
Move 12400 called. Episodes: 0, Games: 0
Move 12500 called. Episodes: 0, Games: 0
Move 12600 called. Episodes: 0, Games: 0
Move 12700 called. Episodes: 0, Games: 0
Move 12800 called. Episodes: 0, Games: 0
Move 12900 called. Episodes: 0, Games: 0
Move 13000 called. Episodes: 0, Games: 0
Move 13100 called. Episodes: 0, Games: 0
Move 13200 called. Episodes: 0, Games: 0
Move 13300 called. Episodes: 0, Games: 0
Move 13400 called. Episodes: 0, Games: 0
Move 13500 called. Episodes: 0, Games: 0
Move 13600 called. Episodes: 0, Games: 0
Move 13700 called. Episodes: 0, Games: 0
Move 13800 called. Episodes: 0, Games: 0
Move 13900 called. Episodes: 0, Games: 0
Move 14000 called. Episodes: 0, Games: 0
Move 14100 called. Episodes: 0, Games: 0
Move 14200 called. Episodes: 0, Games: 0
Move 14300 called. Episodes: 0, Games: 0
Move 14400 called. Episodes: 0, Games: 0
Move 14500 called. Episodes: 0, Games: 0
Move 14600 called. Episodes: 0, Games: 0
Move 14700 called. Episodes: 0, Games: 0
Move 14800 called. Episodes: 0, Games: 0
Move 14900 called. Episodes: 0, Games: 0
Move 15000 called. Episodes: 0, Games: 0
Move 15100 called. Episodes: 0, Games: 0
Move 15200 called. Episodes: 0, Games: 0
Move 15300 called. Episodes: 0, Games: 0
Move 15400 called. Episodes: 0, Games: 0
Move 15500 called. Episodes: 0, Games: 0
Move 15600 called. Episodes: 0, Games: 0
Move 15700 called. Episodes: 0, Games: 0
Move 15800 called. Episodes: 0, Games: 0
Move 15900 called. Episodes: 0, Games: 0
Move 16000 called. Episodes: 0, Games: 0
Move 16100 called. Episodes: 0, Games: 0
Move 16200 called. Episodes: 0, Games: 0
Move 16300 called. Episodes: 0, Games: 0
Move 16400 called. Episodes: 0, Games: 0
Move 16500 called. Episodes: 0, Games: 0
Move 16600 called. Episodes: 0, Games: 0
Move 16700 called. Episodes: 0, Games: 0
Move 16800 called. Episodes: 0, Games: 0
Move 16900 called. Episodes: 0, Games: 0
Move 17000 called. Episodes: 0, Games: 0
Move 17100 called. Episodes: 0, Games: 0
Move 17200 called. Episodes: 0, Games: 0
Move 17300 called. Episodes: 0, Games: 0
Move 17400 called. Episodes: 0, Games: 0
Move 17500 called. Episodes: 0, Games: 0
Move 17600 called. Episodes: 0, Games: 0
Move 17700 called. Episodes: 0, Games: 0
Move 17800 called. Episodes: 0, Games: 0
Move 17900 called. Episodes: 0, Games: 0
Move 18000 called. Episodes: 0, Games: 0
Move 18100 called. Episodes: 0, Games: 0
Move 18200 called. Episodes: 0, Games: 0
Move 18300 called. Episodes: 0, Games: 0
Move 18400 called. Episodes: 0, Games: 0
Move 18500 called. Episodes: 0, Games: 0
Move 18600 called. Episodes: 0, Games: 0
Move 18700 called. Episodes: 0, Games: 0
Move 18800 called. Episodes: 0, Games: 0
Move 18900 called. Episodes: 0, Games: 0
Move 19000 called. Episodes: 0, Games: 0
Move 19100 called. Episodes: 0, Games: 0
Move 19200 called. Episodes: 0, Games: 0
Move 19300 called. Episodes: 0, Games: 0
Move 19400 called. Episodes: 0, Games: 0
Move 19500 called. Episodes: 0, Games: 0
Move 19600 called. Episodes: 0, Games: 0
Move 19700 called. Episodes: 0, Games: 0
Move 19800 called. Episodes: 0, Games: 0
Move 19900 called. Episodes: 0, Games: 0
Move 20000 called. Episodes: 0, Games: 0
Move 20100 called. Episodes: 0, Games: 0
