Move 10000 | MyTeam fainted: 5/6 | OppTeam fainted: 4/6
Move 20000 | MyTeam fainted: 0/6 | OppTeam fainted: 1/6
Move 30000 | MyTeam fainted: 2/6 | OppTeam fainted: 5/6
Move 40000 | MyTeam fainted: 5/6 | OppTeam fainted: 3/6
Move 50000 | MyTeam fainted: 0/6 | OppTeam fainted: 0/6
Move 60000 | MyTeam fainted: 5/6 | OppTeam fainted: 4/6
Move 70000 | MyTeam fainted: 2/6 | OppTeam fainted: 2/6
Move 80000 | MyTeam fainted: 4/6 | OppTeam fainted: 2/6
Move 90000 | MyTeam fainted: 5/6 | OppTeam fainted: 2/6
Move 100000 | MyTeam fainted: 1/6 | OppTeam fainted: 2/6
Move 110000 | MyTeam fainted: 5/6 | OppTeam fainted: 4/6
Move 120000 | MyTeam fainted: 1/6 | OppTeam fainted: 3/6
Move 130000 | MyTeam fainted: 2/6 | OppTeam fainted: 4/6
Move 140000 | MyTeam fainted: 1/6 | OppTeam fainted: 0/6
Move 150000 | MyTeam fainted: 1/6 | OppTeam fainted: 2/6
Move 160000 | MyTeam fainted: 4/6 | OppTeam fainted: 3/6
Move 170000 | MyTeam fainted: 3/6 | OppTeam fainted: 4/6
Move 180000 | MyTeam fainted: 2/6 | OppTeam fainted: 2/6
Move 190000 | MyTeam fainted: 1/6 | OppTeam fainted: 5/6
Move 200000 | MyTeam fainted: 3/6 | OppTeam fainted: 3/6
Move 210000 | MyTeam fainted: 1/6 | OppTeam fainted: 0/6
Move 220000 | MyTeam fainted: 4/6 | OppTeam fainted: 5/6
Move 230000 | MyTeam fainted: 0/6 | OppTeam fainted: 0/6
Move 240000 | MyTeam fainted: 1/6 | OppTeam fainted: 2/6
Move 250000 | MyTeam fainted: 1/6 | OppTeam fainted: 0/6
Move 260000 | MyTeam fainted: 2/6 | OppTeam fainted: 3/6
